case_id,comment_count_ref,comment_count_effective,anger_count,anger_mean_score,anger_rate,high_anger_flag
v411,0,349,17,0.04804015092956868,0.04871060171919771,0
v412,0,795,127,0.160014302905057,0.15974842767295597,0
v413,0,4,0,0.0002528582863305928,0.0,0
v414,0,6,1,0.1665491840140021,0.16666666666666666,0
v415,0,99,3,0.03065351603381163,0.030303030303030304,0
v416,0,6,2,0.31471057801051455,0.3333333333333333,1
v417,0,8344,1791,0.21488548363167437,0.21464525407478427,0
v418,0,3272,428,0.13109751990659654,0.13080684596577016,0
v419,0,150,14,0.09396625703190997,0.09333333333333334,0
v420,0,365,98,0.26881693588865385,0.2684931506849315,0
v421,0,346,57,0.16376185560631523,0.16473988439306358,0
v422,7532,7532,550,0.07399918807258397,0.0730217737652682,0
v423,0,100,20,0.2010734513618081,0.2,0
v424,7,7,0,0.0003165529903656404,0.0,0
v425,0,407,86,0.21049369125886128,0.2113022113022113,0
v426,0,248,55,0.2210949852922333,0.2217741935483871,0
v427,0,296,19,0.06415319246013029,0.06418918918918919,0
v428,0,50,14,0.27925579804825246,0.28,0
v429,0,149,15,0.10371367844396787,0.10067114093959731,0
v430,0,5910,677,0.1148897986593997,0.11455160744500846,0
v431,0,50,2,0.040550012652383886,0.04,0
v432,0,2,0,0.0008387125562876463,0.0,0
v433,0,100,7,0.07044053390527552,0.07,0
v434,0,368,70,0.19024313475373003,0.19021739130434784,0
v435,0,11,1,0.09602660369273508,0.09090909090909091,0
v436,0,100,3,0.030651421059046696,0.03,0
v437,0,3,0,0.0015718134188015636,0.0,0
v438,0,43,2,0.0469256511061631,0.046511627906976744,0
v439,0,319,48,0.15465235648834405,0.15047021943573669,0
v440,0,18815,774,0.042025584705970086,0.041137390380015945,0
v441,0,3003,373,0.12520640447863574,0.12420912420912421,0
v442,0,8808,715,0.08156550948739313,0.08117620345140782,0
v443,0,12,1,0.08298937055830417,0.08333333333333333,0
v444,0,18,1,0.05657599814973461,0.05555555555555555,0
v445,0,11,2,0.1821172254984214,0.18181818181818182,0
v446,0,6,1,0.16667809875313347,0.16666666666666666,0
v447,0,12,1,0.08338152286463203,0.08333333333333333,0
pre_final_459,0,1,0,0.0005886682192794979,0.0,0
v448,0,20,2,0.10250979908014415,0.1,0
v449,0,100,8,0.085328960208426,0.08,0
