visual_main_arousal_label,n_videos,mean_comment_count,median_comment_count,mean_anger_rate,mean_anger_count,high_anger_rate_video_share
缓释,206,554.0,38.0,0.06692647900920845,61.08252427184466,0.014563106796116505
说明,193,763.259067357513,100.0,0.11675767448392264,97.04663212435233,0.04145077720207254
煽动,69,1079.4057971014493,200.0,0.12210763967029684,176.0144927536232,0.014492753623188406
