"model","n","r2","adj_r2"
"R1_nonzero_comments",434,0.152475546838792,0.142574560236442
"R2_winsorized_dv",468,0.237270216254798,0.229015564915565
"R3_alt_dv_anger_mean_score",468,0.215287407175649,0.206794846647247
"R4_comment_ge10",377,0.190644414791164,0.179736657578107
