"model","term","estimate","se_hc3","t_value","p_value","ci_low","ci_high"
"R1_nonzero_comments","(Intercept)",0.0772619705379057,0.0166079129841297,4.65211797603566,4.38609897551769e-06,0.0446187502840287,0.109905190791783
"R1_nonzero_comments","visual_main_arousal_label缓释",-0.0417318091724348,0.00873042100326239,-4.78004544761821,2.41369638029703e-06,-0.0588916447273838,-0.0245719736174857
"R1_nonzero_comments","visual_main_arousal_label煽动",-0.00695991610618128,0.0124542490825459,-0.558838679076628,0.576564085852794,-0.0314390181033247,0.0175191858909621
"R1_nonzero_comments","text_arousal_label缓释",-0.0124565538374471,0.00953072049814364,-1.30698973281961,0.191917962740737,-0.031189395748188,0.00627628807329386
"R1_nonzero_comments","text_arousal_label煽动",0.00979995606286024,0.0143940454614879,0.680834035787967,0.49634467106819,-0.0184918586156407,0.0380917707413612
"R1_nonzero_comments","log_comment_count",0.0104961179222922,0.0022591452898022,4.64605705957547,4.51048739889878e-06,0.00605571789424574,0.0149365179503386
"R2_winsorized_dv","(Intercept)",0.0569136421109365,0.01213380276642,4.69050331594674,3.59431478935692e-06,0.0330693604425892,0.0807579237792837
"R2_winsorized_dv","visual_main_arousal_label缓释",-0.0411367762354533,0.00795805334489702,-5.16920086516279,3.50645716262088e-07,-0.0567752425217685,-0.025498309949138
"R2_winsorized_dv","visual_main_arousal_label煽动",-0.0101529011429016,0.0110930953059908,-0.915245101826405,0.360540418808344,-0.0319520760711345,0.0116462737853314
"R2_winsorized_dv","text_arousal_label缓释",-0.00801455334132503,0.00836441483406543,-0.958172627771217,0.338476860659662,-0.0244515654745957,0.00842245879194564
"R2_winsorized_dv","text_arousal_label煽动",0.00680328928391018,0.0121730325042186,0.558882043693916,0.576513011870845,-0.0171180832137388,0.0307246617815592
"R2_winsorized_dv","log_comment_count",0.0137165512275231,0.00145185339278068,9.44761454271381,1.73556463438117e-19,0.0108634966736438,0.0165696057814025
"R3_alt_dv_anger_mean_score","(Intercept)",0.060281482476236,0.0126638115920664,4.76013734395742,2.59221962815135e-06,0.0353956740937412,0.0851672908587307
"R3_alt_dv_anger_mean_score","visual_main_arousal_label缓释",-0.0408012612873183,0.0082244904331573,-4.96094701780267,9.87656513844531e-07,-0.0569633062984299,-0.0246392162762067
"R3_alt_dv_anger_mean_score","visual_main_arousal_label煽动",-0.00904974591174319,0.0119124675162982,-0.759686932985265,0.447829202102629,-0.0324590790195582,0.0143595871960718
"R3_alt_dv_anger_mean_score","text_arousal_label缓释",-0.00897087543469178,0.00860913822836602,-1.04201781836118,0.297948379836678,-0.0258887964517533,0.00794704558236973
"R3_alt_dv_anger_mean_score","text_arousal_label煽动",0.0099546523253598,0.0137411042785125,0.724443401606834,0.469160265797621,-0.0170481568646608,0.0369574615153804
"R3_alt_dv_anger_mean_score","log_comment_count",0.0132530749981151,0.00156595401567165,8.46325937127264,3.46764554117347e-16,0.010175799938668,0.0163303500575622
"R4_comment_ge10","(Intercept)",0.0780583859130591,0.01735772584208,4.49703991313331,9.22751970312348e-06,0.0439265217491528,0.112190250076965
"R4_comment_ge10","visual_main_arousal_label缓释",-0.0488117541828522,0.00812091634149064,-6.01062147795657,4.4210425065441e-09,-0.064780551937581,-0.0328429564281233
"R4_comment_ge10","visual_main_arousal_label煽动",-0.00558392448350927,0.012298088044996,-0.454048179121738,0.65005965444044,-0.0297666241324435,0.018598775165425
"R4_comment_ge10","text_arousal_label缓释",-0.0114632051938986,0.00945007884858564,-1.21302746543901,0.225891098630053,-0.0300456399283026,0.00711922954050542
"R4_comment_ge10","text_arousal_label煽动",0.00228240219787831,0.0128915444378872,0.177046451561731,0.859568516968405,-0.0230672575225337,0.0276320619182903
"R4_comment_ge10","log_comment_count",0.0109061173345117,0.00222096365960166,4.91053389701469,1.36398538442788e-06,0.00653886147206909,0.0152733731969544
