text_arousal_label,n_videos,mean_comment_count,median_comment_count,mean_anger_rate,mean_anger_count,high_anger_rate_video_share
缓释,275,437.0254545454545,44.0,0.08252258615258214,55.24727272727273,0.02181818181818182
说明,114,1125.2631578947369,200.0,0.10639946049871718,137.80701754385964,0.02631578947368421
煽动,79,1106.9620253164558,237.0,0.12561092784469177,158.9240506329114,0.0379746835443038
