visual_main_arousal_label,text_arousal_label,count,share
煽动,煽动,31,0.06623931623931624
煽动,缓释,21,0.04487179487179487
煽动,说明,17,0.03632478632478633
缓释,煽动,21,0.04487179487179487
缓释,缓释,139,0.297008547008547
缓释,说明,46,0.09829059829059829
说明,煽动,27,0.057692307692307696
说明,缓释,115,0.24572649572649571
说明,说明,51,0.10897435897435898
