"term","estimate","std_error","t_value","p_value"
"(Intercept)",0.131330062655823,0.0225460523466375,5.82496929558532,1.10255383207654e-08
"visual_main_arousal_labelInformational",0.0356419241986871,0.00865573636554794,4.11772294042494,4.56906841017954e-05
"visual_main_arousal_labelIntensifying",0.0325101992231276,0.01249392830568,2.60207986053097,0.00957789381527361
"text_arousal_labelInformational",0.0209502518357473,0.00961394948195662,2.17915143771731,0.0298489862367761
"text_arousal_labelIntensifying",0.0353434594844372,0.0120305780078418,2.93780227861034,0.00347875580886861
"log1p(like_count)",0.00069082054455481,0.00186156872409052,0.371095912611184,0.710744299666592
"log1p(follower_count)",-0.00367163957540377,0.00149481242345618,-2.45625438870419,0.0144238985661211
"publish_day",-0.00102663865963224,0.000265231318937614,-3.87072938348475,0.000124914266271832
